year,duration,dist,u
1979,78,20,1.101934046
1979,42,20,0.679465868
1979,102,20,1.184749188
1979,18,20,1.44714734
1979,48,20,1.014959402
1979,30,20,0.364224291
1979,18,20,0.702159468
1979,6,20,0.194302836
1979,42,20,1.095336304
1979,6,20,0.401011666
1979,18,20,1.012623961
1979,6,20,0.424459166
1979,18,20,1.375557347
1979,6,20,0.734852803
1979,24,20,1.171499579
1979,72,20,1.642509518
1979,18,20,0.96470058
1979,6,20,0.422142343
1979,42,20,0.909062493
1979,24,20,1.745352267
1979,30,20,1.294013678
1979,18,20,1.634210128
1979,6,20,1.325811014
1979,42,20,1.752172081
1979,6,20,1.310574846
1979,48,20,1.740316732
1979,42,20,0.919096216
1979,24,20,0.577428636
1979,6,20,0.255780627
1979,114,20,0.644879499
1979,24,20,1.010635506
1979,6,20,1.51816425
1979,18,20,0.988049016
1979,6,20,1.750219368
1979,18,20,1.454578928
1979,48,20,0.598423809
1979,54,20,0.180707811
1979,24,20,0.579964884
1979,90,20,0.995793963
1979,96,20,0.373781776
1979,30,20,1.015529803
1979,18,20,1.330627963
1979,6,20,0.940723131
1979,42,20,1.466120873
1979,24,20,0.331942879
1979,48,20,0.901022156
1979,24,20,1.387196485
1979,30,20,0.895876135
1979,24,20,0.376367171
1979,24,20,0.79152544
1979,18,20,0.281636351
1979,30,20,1.357146465
1979,18,20,1.659843199
1979,30,20,1.154748082
1979,138,20,0.698862664
1979,6,20,1.306507882
1979,42,20,1.453211063
1979,24,20,1.021176896
1979,24,20,0.171158789
1979,72,20,0.782692453
1979,72,20,1.215585529
1979,24,20,0.566376776
1979,24,20,1.075055891
1979,24,20,0.711845072
1979,126,20,1.503435639
1979,138,20,1.093430404
1979,24,20,1.459972982
1979,6,20,0.835736257
1979,18,20,1.314890442
1979,48,20,0.958484526
1979,48,20,0.337244857
1979,72,20,0.750395745
1979,6,20,0.111037674
1979,18,20,1.288105932
1979,6,20,0.316302034
1979,18,20,1.36024993
1979,102,20,0.696326741
1979,24,20,1.028380399
1979,18,20,0.625929862
1979,6,20,0.100198675
1979,18,20,0.901569522
1979,6,20,0.457714548
1979,24,20,1.304606329
1979,144,20,0.808223158
1979,18,20,1.163154268
1979,30,20,0.524886646
1979,66,20,1.126086645
1979,96,20,0.583895826
1979,30,20,0.964856401
1979,42,20,1.685461162
1979,198,20,1.433247666
1979,66,20,0.752556716
1979,6,20,0.176868534
1979,18,20,0.546781022
1979,6,20,0.182456565
1979,24,20,0.579074942
1979,18,20,0.9936791
1979,120,20,0.731312465
1979,6,20,0.116493316
1979,18,20,0.820903373
1979,6,20,0.047419283
1979,18,20,0.920405136
1979,6,20,0.043084677
1979,18,20,0.641773516
1979,6,20,0.096694739
1979,18,20,0.607765023
1979,30,20,0.07944286
1979,18,20,0.829122075
1979,6,20,0
1979,18,20,0.512535948
1979,24,20,0.896369491
1979,30,20,0.489913513
1979,42,20,0.931994343
1979,30,20,0.163800833
1979,18,20,0.854377615
1979,6,20,0.310185103
1979,18,20,0
1979,48,20,0.445402722
1979,30,20,1.067092361
1979,18,20,1.583425511
1979,24,20,1.092356025
1979,6,20,0.418881415
1979,18,20,0
1979,6,20,0.298511763
1979,42,20,0.73022813
1979,6,20,0.15531627
1979,18,20,1.384436014
1979,6,20,0.540897577
1979,18,20,1.387291846
1979,6,20,0
1979,18,20,0.92941151
1979,6,20,0
1979,18,20,0.714464283
1979,30,20,0.094775173
1979,138,20,0.786470412
1979,6,20,0.095103451
1979,18,20,1.085066003
1979,6,20,0.112815523
1979,24,20,1.223988903
1979,48,20,0.773127135
1979,18,20,1.166896539
1979,24,20,0.238303897
1979,54,20,1.299979249
1980,66,20,1.020044284
1980,6,20,0.046461053
1980,24,20,0.662745291
1980,18,20,1.632394797
1980,6,20,0.832426624
1980,18,20,1.662442588
1980,24,20,1.14701848
1980,6,20,0
1980,24,20,0.410125927
1980,18,20,0.79701548
1980,30,20,0
1980,24,20,0.400404725
1980,66,20,0.9612749
1980,6,20,0.303919267
1980,18,20,0.9936791
1980,6,20,0.289613438
1980,18,20,0.951753196
1980,6,20,0.262866355
1980,90,20,0.761270264
1980,30,20,0.069014094
1980,42,20,0.474811657
1980,30,20,0.073590322
1980,18,20,0.771905901
1980,30,20,0.076744348
1980,42,20,0.970307631
1980,144,20,0.445573893
1980,6,20,0
1980,90,20,0.749865186
1980,6,20,1.200428345
1980,24,20,0.966185597
1980,42,20,0.615865257
1980,6,20,0.142722668
1980,42,20,0.908621459
1980,24,20,1.223988903
1980,30,20,0.841679316
1980,18,20,0.332614102
1980,48,20,1.072063206
1980,30,20,0.503914257
1980,18,20,0.092432537
1980,78,20,0.680082362
1980,18,20,0.948501593
1980,6,20,0.653765227
1980,18,20,1.194654881
1980,48,20,0.533603392
1980,6,20,0.017831785
1980,18,20,0.664332033
1980,30,20,0.153893121
1980,18,20,1.139667016
1980,54,20,0.088107492
1980,18,20,0.515166978
1980,54,20,0.085331633
1980,24,20,1.378243267
1980,24,20,0.967217303
1980,18,20,1.439676189
1980,54,20,1.182450791
1980,18,20,1.543804887
1980,6,20,0.671793775
1980,18,20,1.26186552
1980,6,20,0.393305534
1980,114,20,1.299566915
1980,6,20,0.606267066
1980,24,20,1.530871214
1980,114,20,1.271850389
1980,6,20,0.686712976
1980,18,20,1.184812816
1980,96,20,1.00491115
1980,48,20,0.257603575
1980,24,20,0.788608426
1980,102,20,1.192312087
1980,42,20,0.542458649
1980,24,20,1.311423987
1980,6,20,0.828055335
1980,90,20,1.3648516
1980,6,20,1.767169419
1980,90,20,1.344128651
1980,6,20,0.818491746
1980,96,20,1.3006796
1980,66,20,0.683528938
1980,6,20,0.105052545
1980,42,20,0.596880855
1980,6,20,1.134291874
1980,24,20,0.322830619
1980,66,20,0.723869592
1980,54,20,1.819263759
1980,48,20,1.459373179
1980,18,20,1.952037254
1980,24,20,1.48607733
1980,6,20,0.810527021
1980,42,20,1.533334817
1980,54,20,0.322881074
1980,18,20,0.601260268
1980,48,20,0.077233964
1980,54,20,0.884956142
1980,18,20,1.207018922
1980,6,20,1.72440196
1980,24,20,1.404838098
1980,24,20,1.714695879
1980,42,20,1.414959483
1980,6,20,1.07656353
1980,96,20,1.577510488
1980,24,20,0.921592155
1980,18,20,1.177339991
1980,6,20,1.917798166
1980,42,20,1.280813567
1980,48,20,0.51671701
1980,48,20,0.09805409
1980,30,20,0.748600958
1980,18,20,1.138012776
1980,6,20,0.160698483
1980,18,20,1.057057793
1980,6,20,0.321277095
1980,24,20,1.199685076
1980,24,20,0.770533785
1980,18,20,0.218483202
1980,24,20,0.886953569
1980,24,20,0.383275056
1980,24,20,1.221127162
1980,120,20,0.751694846
1980,30,20,1.340543778
1980,18,20,1.673331436
1980,6,20,0.721945924
1980,18,20,1.074405932
1980,30,20,0.593001041
1980,18,20,0.968368621
1980,6,20,0.637428273
1980,18,20,0.88701927
1980,6,20,1.729298997
1980,42,20,1.220263093
1980,48,20,1.721627881
1980,6,20,1.542567397
1980,24,20,0.906655978
1980,42,20,1.700354406
1980,6,20,0.512182598
1980,18,20,0.834420292
1980,30,20,0.549241211
1980,18,20,0.873742515
1980,54,20,0.357869661
1980,42,20,0.950607227
1980,30,20,0.493912527
1980,18,20,1.160775543
1980,48,20,0.929456041
1980,48,20,0.492748698
1980,24,20,1.479946313
1980,6,20,1.385174616
1980,24,20,1.46482541
1980,18,20,0.79329069
1980,72,20,1.415882562
1980,6,20,0.589819652
1980,114,20,1.178548139
1980,6,20,0.409581536
1980,42,20,0.725030963
1980,30,20,1.4177232
1980,42,20,0.96115659
1980,6,20,0.189101201
1980,24,20,0.930671847
1980,90,20,0.457719002
1980,30,20,1.235911131
1980,18,20,1.717963207
1980,6,20,1.236693955
1980,18,20,0.900483028
1980,24,20,1.504601561
1980,24,20,1.791428937
1980,54,20,1.28665299
1980,42,20,1.711282372
1980,30,20,2.172080902
1980,24,20,1.701603814
1980,18,20,1.193189493
1980,24,20,1.644583676
1980,6,20,1.039123315
1980,18,20,1.450657289
1980,96,20,1.126358443
1980,48,20,1.612818561
1980,72,20,1.145833702
1980,24,20,1.577177409
1980,24,20,0.66588398
1980,6,20,0
1980,18,20,0.321885112
1980,6,20,0
1980,18,20,1.73220135
1980,6,20,1.174620397
1980,18,20,1.736169046
1980,6,20,0.987618025
1980,18,20,1.57325807
1980,48,20,1.192593854
1980,6,20,0.630514083
1980,96,20,1.204133267
1980,42,20,1.512356368
1980,72,20,1.332997581
1980,24,20,0.860701485
1980,24,20,0.105858868
1980,24,20,0.780510161
1980,6,20,0.091905281
1980,18,20,0.711244763
1980,6,20,0.158752271
1980,18,20,0.625588226
1980,24,20,0.181621394
1980,30,20,0.672366706
1980,18,20,0.091795094
1980,72,20,0.516889685
1980,6,20,0.149908118
1980,42,20,0.485749699
1980,102,20,1.109746899
1980,24,20,0.50955104
1980,18,20,1.186402756
1980,6,20,1.134593822
1980,18,20,1.840864059
1980,72,20,1.454485025
1980,48,20,1.093766879
1980,24,20,0.491408297
1980,72,20,1.173532064
1980,102,20,0.572662682
1980,72,20,0.966163446
1980,24,20,1.315615979
1980,42,20,0.885484929
1980,6,20,0.375561924
1980,18,20,0.737844428
1980,6,20,0.217114086
1980,18,20,0.508182712
1980,30,20,0
1980,72,20,0.596487231
1980,18,20,0
1980,48,20,0.443305352
1980,6,20,0
1980,18,20,0.715616191
1980,6,20,0.009794363
1980,42,20,0.435373877
1980,6,20,0.020243143
1980,18,20,0.686664823
1980,54,20,0.270869962
1980,18,20,0.887651091
1980,6,20,0.114260115
1980,18,20,0.46885163
1980,6,20,0.112636187
1980,66,20,0.53950263
1980,30,20,0.104691806
1980,18,20,0.964575805
1980,6,20,0.017831785
1980,18,20,1.064471643
1980,6,20,0.063454375
1980,18,20,1.075227763
1980,24,20,0.027305029
1980,24,20,0.584580654
1980,54,20,1.317671252
1980,24,20,1.692910374
1980,18,20,0.074784008
1980,6,20,1.785803867
1980,18,20,1.294543694
1980,30,20,1.10345808
1980,24,20,0.703608672
1980,114,20,1.173680454
1980,6,20,0.006807869
1980,48,20,0.752655331
1980,24,20,1.081822942
1980,18,20,0.707409765
1980,6,20,0.020501215
1980,18,20,0.688454196
1980,6,20,0.162870971
1980,18,20,0.900049183
1980,6,20,0.093357975
1980,90,20,0.762210775
1980,24,20,1.120798009
1980,48,20,0.784586257
1980,30,20,1.445456181
1980,18,20,1.078761865
1980,54,20,1.315350722
1980,18,20,0.854137751
1980,30,20,0.018538141
1980,18,20,0.765073173
1980,30,20,0.153893121
1980,18,20,0.78589479
1980,72,20,0.161587449
1980,6,20,0.761670791
1980,66,20,1.764835312
1980,48,20,0.979197917
1980,30,20,0.242057589
1980,24,20,0.640194342
1980,18,20,0
1980,6,20,0.479195309
1980,24,20,0.085196293
1980,18,20,0.690974048
1980,6,20,0.077135746
1980,48,20,1.024458565
1981,42,20,0.345157336
1981,6,20,0
1981,18,20,0.882620986
1981,6,20,0
1981,24,20,0.826392295
1981,18,20,1.626130654
1981,48,20,0.925472357
1981,6,20,0.945032063
1981,18,20,1.781420976
1981,24,20,0.786931108
1981,6,20,1.21314758
1981,18,20,2.095998922
1981,24,20,1.161048244
1981,24,20,1.441110901
1981,6,20,0
1981,18,20,0.918066163
1981,24,20,0.299932818
1981,24,20,1.195051572
1981,6,20,0
1981,18,20,0.642492891
1981,6,20,0
1981,18,20,1.011234521
1981,6,20,0
1981,18,20,0.852440625
1981,30,20,0
1981,18,20,1.00557076
1981,6,20,0.278665512
1981,24,20,0.876198399
1981,18,20,1.545417683
1981,24,20,1.000020945
1981,6,20,0.411939817
1981,48,20,1.248717669
1981,18,20,0.705526064
1981,6,20,0.127679726
1981,18,20,1.673617146
1981,24,20,0.681524501
1981,6,20,0.136358293
1981,18,20,0.760876289
1981,6,20,0.291157719
1981,18,20,0.965386112
1981,24,20,0.469951772
1981,6,20,0
1981,42,20,0.49632259
1981,6,20,0.069147657
1981,42,20,0.978382585
1981,6,20,0.050175173
1981,24,20,0.485924217
1981,18,20,0.939928923
1981,6,20,0.258507764
1981,18,20,0.853179715
1981,6,20,0.083873031
1981,24,20,0.605736103
1981,18,20,1.254681301
1981,6,20,1.517174319
1981,42,20,1.075333133
1981,6,20,0
1981,24,20,0.365780801
1981,18,20,0.757184443
1981,6,20,0.302011535
1981,72,20,0.69281495
1981,18,20,0.086206997
1981,48,20,0.716892709
1981,24,20,0.084195873
1981,6,20,0.538097068
1981,18,20,0
1981,24,20,0.694315498
1981,24,20,1.108649771
1981,6,20,0.060736944
1981,18,20,0.551855386
1981,30,20,0.965714802
1981,18,20,1.67633307
1981,24,20,1.012092914
1981,6,20,0.074646799
1981,18,20,0.994645807
1981,6,20,1.289188697
1981,24,20,0.60839965
1981,18,20,0.144070237
1981,24,20,0.532121098
1981,6,20,0
1981,42,20,0.48543875
1981,24,20,0.079681608
1981,24,20,0.533331105
1981,6,20,0
1981,18,20,0.651127949
1981,6,20,0.043356599
1981,18,20,1.064749039
1981,6,20,0.172142699
1981,18,20,0.824090459
1981,24,20,0.433205276
1981,6,20,0.815432257
1981,42,20,0.135341329
