kappa	t	t_1
0.25	-0.72	-0.604865164101025
0.25	-0.71	-0.595040864272693
0.25	-0.7	-0.585216330921909
0.25	-0.69	-0.575391564155452
0.25	-0.68	-0.565566564095634
0.25	-0.67	-0.555741330878341
0.25	-0.66	-0.545915864651291
0.25	-0.65	-0.536090165572488
0.25	-0.64	-0.526264233808862
0.25	-0.63	-0.516438069535058
0.25	-0.62	-0.506611672932389
0.25	-0.61	-0.496785044187895
0.25	-0.6	-0.486958183493545
0.25	-0.59	-0.477131091045523
0.25	-0.58	-0.467303767043619
0.25	-0.57	-0.45747621169069
0.25	-0.56	-0.447648425192207
0.25	-0.55	-0.437820407755853
0.25	-0.54	-0.427992159591186
0.25	-0.53	-0.418163680909344
0.25	-0.52	-0.4083349719228
0.25	-0.51	-0.398506032845143
0.25	-0.5	-0.388676863890903
0.25	-0.49	-0.378847465275396
0.25	-0.48	-0.369017837214596
0.25	-0.47	-0.359187979925022
0.25	-0.46	-0.349357893623655
0.25	-0.45	-0.339527578527854
0.25	-0.44	-0.329697034855295
0.25	-0.43	-0.319866262823918
0.25	-0.42	-0.310035262651883
0.25	-0.41	-0.300204034557534
0.25	-0.4	-0.290372578759369
0.25	-0.39	-0.280540895476012
0.25	-0.38	-0.270708984926196
0.25	-0.37	-0.260876847328747
0.25	-0.36	-0.251044482902564
0.25	-0.35	-0.241211891866618
0.25	-0.34	-0.231379074439932
0.25	-0.33	-0.221546030841583
0.25	-0.32	-0.211712761290686
0.25	-0.31	-0.201879266006399
0.25	-0.3	-0.192045545207912
0.25	-0.29	-0.182211599114448
0.25	-0.28	-0.172377427945253
0.25	-0.27	-0.162543031919604
0.25	-0.26	-0.152708411256796
0.25	-0.25	-0.142873566176152
0.25	-0.24	-0.133038496897008
0.25	-0.23	-0.123203203638725
0.25	-0.22	-0.113367686620678
0.25	-0.21	-0.10353194606226
0.25	-0.2	-0.0936959821828802
0.25	-0.19	-0.0838597952019605
0.25	-0.18	-0.0740233853389389
0.25	-0.17	-0.0641867528132643
0.25	-0.16	-0.054349897844401
0.25	-0.15	-0.0445128206518212
0.25	-0.14	-0.03467552145501
0.25	-0.13	-0.0248380004734624
0.25	-0.12	-0.0150002579266824
0.25	-0.11	-0.0051622940341828
0.25	-0.1	0.0046758909845157
0.25	-0.0899999999999999	0.0145142969098847
0.25	-0.0800000000000001	0.0243529235223895
0.25	-0.0699999999999998	0.0341917706024911
0.25	-0.0600000000000001	0.0440308379306418
0.25	-0.0499999999999998	0.0538701252872927
0.25	-0.04	0.0637096324528886
0.25	-0.0299999999999998	0.0735493592078733
0.25	-0.02	0.0833893053326857
0.25	-0.00999999999999979	0.0932294706077651
0.25	0	0.103069854813548
0.25	0.0100000000000002	0.112910457730471
0.25	0.02	0.12275127913897
0.25	0.0300000000000002	0.132592318819484
0.25	0.04	0.14243357655245
0.25	0.0500000000000003	0.152275052118311
0.25	0.0600000000000001	0.162116745297509
0.25	0.0700000000000003	0.171958655870493
0.25	0.0800000000000001	0.181800783617713
0.25	0.0899999999999999	0.191643128319625
0.25	0.1	0.201485689756691
0.25	0.11	0.211328467709378
0.25	0.12	0.221171461958161
0.25	0.13	0.231014672283521
0.25	0.14	0.240858098465948
0.25	0.15	0.250701740285939
0.25	0.16	0.260545597524003
0.25	0.17	0.270389669960656
0.25	0.18	0.280233957376427
0.25	0.19	0.290078459551855
0.25	0.2	0.299923176267491
0.25	0.21	0.309768107303897
0.25	0.22	0.319613252441652
0.25	0.23	0.329458611461346
0.25	0.24	0.339304184143582
0.25	0.25	0.349149970268982
0.25	0.26	0.358995969618181
0.25	0.27	0.36884218197183
0.25	0.28	0.378688607110598
0.25	0.29	0.388535244815172
0.25	0.3	0.398382094866256
